"Name","Longitude","Latitude","x","y","id"
"بيت البلد - نصر الدين",35.0450773,32.6985907,2394.65721897758,3801.50440892361,331
"מזכירות טלמון",35.1323576,31.9395986,2419.96566782587,3716.85241066461,332
"מזכירות נריה",35.1347581,31.9511469,2419.94355692198,3718.21176901051,333
"Al-Far'a Camp Public Comitte",35.3458085,32.2915965,2432.78217316176,3760.95973700638,334
"מזכירות",35.3425284,32.0897793,2437.00363377227,3737.92966712484,335
"belinson town hall",34.9153373,32.0812338,2395.81756914786,3728.89840810825,336
"מזכירות כפר חסידים",35.0924261,32.7511196,2398.02517362183,3808.37073897195,337
"بلدية اذنا",34.9863707,31.55694,2414.13918116402,3670.57007532125,338
"بلدية دير يوسف",35.7926759,32.4894766,2471.40813461186,3792.16209081995,339
"מזכירות צופית",34.917897,32.1963737,2393.54088460703,3742.03694267259,340
"עיריית בית שמש",34.9934453,31.7476342,2410.68287587757,3692.40593666845,341
"עיריית גבעת שמואל",34.8475988,32.0781515,2389.32762045803,3727.28800881174,342
"بلدية صور",35.1996626,33.2695896,2396.51288808202,3869.30499887061,343
"מזכירות",34.985449,32.1460539,2401.17984871471,3737.57894134325,344
"מועצה מקומית אורנית",34.9951697,32.1317467,2402.43535942848,3736.13408910335,345
"Fuhays Municipality",35.7693788,32.0100276,2480.21762768757,3737.089869356,346
"صالة فينيسيا",35.8554944,32.5326835,2476.46271340412,3798.32134273539,347
"עיריית באר שבע",34.7997587,31.2497464,2402.51476937132,3632.16170946635,348
"מינהלי הנדסה ובת""ש",34.7770881,32.0828167,2382.40168098499,3726.51197957535,349
"מזכירות",34.8782485,31.7404492,2399.63800673134,3689.4500030237,350
"بلدية عنجرة",35.7565514,32.3099107,2472.0765670873,3771.00406271931,351
"بلدية فوعرا",35.7664055,32.61421,2465.9746228886,3805.84463151182,352
"אגף מנהל הנדסה",34.8812243,32.1927411,2390.0756404495,3740.94000483297,353
"מי רעננה",34.8823173,32.179055,2390.48112248402,3739.40459798797,354
"אגף הכנסות",34.875513,32.1799117,2389.80453624155,3739.37525308568,355
"מרכז שירות לתושב",34.8755181,32.1799443,2389.80431548866,3739.37905384999,356
"עירונית קריית אליעזר",34.9815123,32.8247377,2385.73104548774,3814.63034057511,357
"Municipality of Rmeich",35.3670917,33.0824457,2416.80346081136,3851.2865413027,358
"ممثلية روسيا الاتحادية لدى السلطة الوطنية الفلسطينية - قسم قنصلي",35.2146381,31.9170606,2428.45060511099,3715.83980725224,359
"Al Karaki Family Hall",35.0857178,31.5306853,2424.3966374499,3669.42983382124,360
"המועצה הדתית",34.593918,31.5251959,2376.57574651837,3659.75631212676,361
